"OTU_IDs","best_model","best_model_qvalue","High_minus_Low_mean","taxonomy"
"OTU_43333","NB",0.0246277594970346,2129.15875613748,"k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Staphylococcaceae: g__Staphylococcus: s__aureus"
"OTU_65","NB",0.00850807673678669,-344.066284779051,"k__Bacteria: p__Firmicutes: c__Bacilli: o__Lactobacillales: f__Lactobacillaceae: g__Lactobacillus: s__"
"OTU_76","NB",0.00041747750361995,-519.18085106383,"k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__Prevotellaceae: g__Prevotella: s__"
"OTU_15259","NB",0.0454575267482716,-117.301145662848,"k__Bacteria: p__Proteobacteria: c__Betaproteobacteria: o__Neisseriales: f__Neisseriaceae: g__Neisseria: s__"
"OTU_44","NB",0.0312152740437968,411.730769230769,"k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Pseudomonadales: f__Pseudomonadaceae: g__Pseudomonas: s__"
"OTU_1216","NB",0.0302398120968855,8.26513911620295,"k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Sphingomonadales: f__: g__: s__"
"OTU_2398","NB",0.0123971606835338,551.277414075287,"k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Staphylococcaceae: g__Staphylococcus"
"OTU_1","NB",0.0229353244448888,1070.36006546645,"k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Staphylococcaceae: g__Staphylococcus: s__"
"OTU_108","NB",0.019812629738367,217.527004909984,"k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhodobacterales: f__Rhodobacteraceae: g__Rubellimicrobium: s__"
"OTU_25144","NB",0.000638949389258828,618.761047463175,"k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Enterobacteriales: f__Enterobacteriaceae: g__: s__"
"OTU_498","NB",1.75019007256356e-05,-32.8780687397709,"k__Bacteria: p__Actinobacteria: c__Coriobacteriia: o__Coriobacteriales: f__Coriobacteriaceae: g__: s__"
"OTU_40862","NB",0.00266328013208703,-294.103109656301,"k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Enterobacteriales: f__Enterobacteriaceae: g__Erwinia: s__"
"OTU_40","NB",0.00707825687013521,-769.464811783961,"k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Micrococcaceae: g__Kocuria: s__palustris"
"OTU_14","NB",0.00831775309718737,-1400.7643207856,"k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Aeromonadales: f__Aeromonadaceae: g__: s__"
"OTU_8","NB",3.85583334405845e-05,4247.53191489362,"k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Pseudomonadales: f__Pseudomonadaceae: g__Pseudomonas: s__"
"OTU_127","NB",0.00239464663644725,-285.647299509002,"k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhizobiales: f__Brucellaceae: g__Ochrobactrum: s__"
"OTU_43735","NB",1.75019007256356e-05,1517.24140752864,"k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Pseudomonadales: f__Pseudomonadaceae: g__Pseudomonas: s__"
"OTU_26343","NB",0.0040877132922414,-12.2774140752864,"k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__Bacteroidaceae: g__Bacteroides: s__"
"OTU_22880","NB",0.0251165332680553,56.0417348608838,"k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Enterobacteriales: f__Enterobacteriaceae: g__: s__"
"OTU_17848","NB",1.75019007256356e-05,-1416.35679214403,"k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Enterobacteriales: f__Enterobacteriaceae: g__Serratia: s__marcescens"
"OTU_36","NB",0.0455964502364648,498.783960720131,"k__Bacteria: p__Proteobacteria: c__Betaproteobacteria: o__Burkholderiales: f__Oxalobacteraceae: g__: s__"
"OTU_1233","NB",0.00831775309718737,-63.0957446808511,"k__Bacteria: p__Firmicutes: c__Bacilli: o__Lactobacillales: f__Enterococcaceae: g__Enterococcus: s__"
"OTU_37035","NB",0.0269638612632606,20.1178396072013,"k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Planococcaceae: g__: s__"
"OTU_32115","NB",0.000114899651400536,-270.024549918167,"k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhizobiales: f__Brucellaceae"
"OTU_837","NB",0.0251165332680553,86.7864157119476,"k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Sphingomonadales: f__Sphingomonadaceae: g__: s__"
"OTU_1250","NB",0.0451438259287431,76.531914893617,"k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Xanthomonadales: f__Xanthomonadaceae: g__: s__"
"OTU_35751","NB",0.000785413608719999,113.524549918167,"k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Staphylococcaceae: g__Staphylococcus: s__"
"OTU_31","NB",0.0040877132922414,-1211.09492635025,"k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__[Weeksellaceae]: g__Wautersiella: s__"
"OTU_53","NB",0.0003412349951408,-599.648936170213,"k__Bacteria: p__Chlamydiae: c__Chlamydiia: o__Chlamydiales: f__Rhabdochlamydiaceae: g__Candidatus Rhabdochlamydia: s__"
"OTU_57","NB",1.41167378242459e-09,-984.653846153846,"k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__Shewanellaceae: g__Shewanella: s__"
"OTU_168","NB",2.89980728769229e-05,372.394435351882,"k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Corynebacteriaceae: g__Corynebacterium: s__"
"OTU_22","NB",0.00831775309718737,890.391980360065,"k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhizobiales: f__Methylobacteriaceae: g__Methylobacterium: s__"
"OTU_46481","NB",0.0117311854933694,51.537643207856,"k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Staphylococcaceae: g__Staphylococcus: s__"
"OTU_37123","NB",0.00707825687013521,-144.653027823241,"k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Pseudomonadales: f__Pseudomonadaceae: g__Pseudomonas: s__stutzeri"
"OTU_277","NB",0.00707825687013521,382.645662847791,"k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Pseudomonadales: f__Moraxellaceae: g__Acinetobacter: s__"
"OTU_23","NB",0.0246277594970346,440.5,"k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhizobiales: f__Bartonellaceae: g__: s__"
